date,disease,state,district,taluk,latitude,longitude,outbreak_label,predicted_outbreak,outbreak_probability,outbreak_intensity,weight
2021-12-29,acute_diarrheal_disease,Kerala,Kasaragod,Hosdurg,12.3167,75.1,1,1,0.7728004760633843,0.0055229852107529,0.0055229852107529
2024-01-03,acute_diarrheal_disease,Kerala,Kasaragod,Hosdurg,12.3167,75.1,1,0,0.0762344467444847,0.0011367359028396,0.0011367359028396
2024-11-18,acute_diarrheal_disease,Kerala,Kasaragod,Hosdurg,12.3167,75.1,0,1,0.766054840117099,0.0122532889745408,0.0122532889745408
2021-11-18,acute_diarrheal_disease,Kerala,Kasaragod,Kasaragod,12.5035577,74.9907022,1,1,0.7490539627297177,0.0,0.0
2022-10-16,acute_diarrheal_disease,Kerala,Kasaragod,Kasaragod,12.5035577,74.9907022,0,1,0.7366411114783975,0.0016192931689679,0.0016192931689679
2023-11-18,acute_diarrheal_disease,Kerala,Kasaragod,Kasaragod,12.5035577,74.9907022,0,1,0.7312309320149173,0.0,0.0
2021-08-08,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0,1,0.7065502995428035,0.0,0.0
2021-10-15,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,1,0,0.2614133754906907,0.0,0.0
2022-07-07,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0,1,0.7221771713270319,0.1251170993796789,0.1251170993796789
2022-11-20,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0,0,0.1221754680962095,0.0,0.0
2022-11-21,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,1,0,0.1262635984645237,0.0,0.0
2023-10-17,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0,0,0.2609131042908827,0.5087713376537903,0.5087713376537903
2023-12-29,acute_diarrheal_disease,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0,1,0.738437246998869,0.0,0.0
2020-10-14,acute_diarrheal_disease,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0,1,0.7660676580682267,0.0,0.0
2020-11-19,acute_diarrheal_disease,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0,1,0.5433637327344731,0.0,0.0
2022-10-14,acute_diarrheal_disease,Kerala,Kasaragod,Nileshwaram,12.25,75.1,1,1,0.6848975419059734,0.0002096223762266,0.0002096223762266
2023-11-04,acute_diarrheal_disease,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0,1,0.5974580828259984,0.0019307277873476,0.0019307277873476
2023-11-24,acute_diarrheal_disease,Kerala,Kasaragod,Nileshwaram,12.25,75.1,1,0,0.107520819346077,0.0,0.0
2020-10-15,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,1,1,0.7246452441954784,0.0,0.0
2021-11-19,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0,1,0.5554145954476458,0.0,0.0
2021-11-20,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0,0,0.4784256786206158,0.0,0.0
2022-12-27,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0,1,0.621447777893298,0.0,0.0
2022-12-29,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0,1,0.7241638206349353,0.0005912425996135,0.0005912425996135
2023-07-06,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0,1,0.600042792271636,0.0002447230883306,0.0002447230883306
2024-10-14,acute_diarrheal_disease,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0,0,0.1540662204265107,0.0,0.0
