cluster_id,disease,date,state,district,taluk,latitude,longitude,outbreak_intensity
163,acute_diarrheal_disease,2023-11-20,Kerala,Palakkad,Palakkad,10.78789845,76.47408711,5.374932723759343e-05
163,acute_diarrheal_disease,2023-11-20,Kerala,Palakkad,Mannarkkad,11.0,76.4667,6.0467993142292616e-05
163,acute_diarrheal_disease,2023-11-21,Kerala,Palakkad,Ottapalam,10.7667,76.3667,0.0006941759066305
164,acute_diarrheal_disease,2023-11-18,Kerala,Kasaragod,Kasaragod,12.5035577,74.9907022,0.0
165,acute_diarrheal_disease,2023-11-18,Kerala,Kannur,Kannur,11.8763836,75.3737973,0.0
166,acute_diarrheal_disease,2023-11-20,Kerala,Alappuzha,Mavelikkara,9.2667,76.55,0.0
166,acute_diarrheal_disease,2023-11-20,Kerala,Kottayam,Changanassery,9.45,76.5333,0.0004031199542819
167,acute_diarrheal_disease,2023-11-20,Kerala,Thiruvananthapuram,Thiruvananthapuram,8.4882267,76.947551,0.0
168,acute_diarrheal_disease,2023-11-20,Kerala,Malappuram,Perinthalmanna,10.9667,76.2167,0.0
169,acute_diarrheal_disease,2023-11-21,Kerala,Kannur,Iritty,11.9333,75.7,0.9999999983333334
170,acute_diarrheal_disease,2023-11-21,Kerala,Malappuram,Tirurangadi,11.0,75.9333,0.0
171,acute_diarrheal_disease,2023-11-21,Kerala,Wayanad,Vythiri,11.6226,76.0813,0.0002091890018809
172,acute_diarrheal_disease,2023-11-22,Kerala,Kottayam,Kanjirappally,9.5667,76.7833,0.0
172,acute_diarrheal_disease,2023-11-23,Kerala,Idukki,Peerumade,9.5667,76.9667,0.9999999983333334
172,acute_diarrheal_disease,2023-11-24,Kerala,Kottayam,Meenachil,9.7167,76.6833,0.0
173,acute_diarrheal_disease,2023-11-23,Kerala,Kollam,Punalur,9.0089,76.9269,0.0172826368232415
173,acute_diarrheal_disease,2023-11-24,Kerala,Kollam,Kottarakkara,9.0002,76.7788,0.0
174,acute_diarrheal_disease,2023-11-24,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0.0
175,acute_diarrheal_disease,2023-12-09,Kerala,Idukki,Udumbanchola,9.8333,77.1333,0.0
176,acute_diarrheal_disease,2023-12-25,Kerala,Kottayam,Changanassery,9.45,76.5333,0.2122257340728656
176,acute_diarrheal_disease,2023-12-27,Kerala,Alappuzha,Kuttanad,9.5833,76.4167,0.0
176,acute_diarrheal_disease,2023-12-29,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,0.0
